0,사회,서울 합동분향소에 6일간 추모객 11만여 명 다녀가,https://v.daum.net/v/20221105202846201
0,사회,"서울 합동분향소, 6일간 11만명 방문[이태원 핼러윈 참사]",https://v.daum.net/v/20221105202843200
0,사회,이태원 참사 서울분향소에 6일간 11만여명 발길,https://v.daum.net/v/20221105201742126
0,사회,"서울 합동분향소, 6일간 11만명이 찾았다[이태원 핼러윈 참사]",https://v.daum.net/v/20221105202843200
0,사회,'이태원 참사' 서울 합동분향소에 6일간 11만여명 다녀가,https://v.daum.net/v/20221105195823946
0,사회,[이태원 참사] 서울 합동분향소에 6일간 11만여명 발길,https://v.daum.net/v/20221105194619888
1,사회,"서울광장 분향소, ‘이태원 사고 사망자→참사 희생자’로 문구 변경",https://v.daum.net/v/20221105202142151
1,사회,피해 신고 15일까지로 연장...지하철역 안전인력 보강,https://v.daum.net/v/20221105181612144
1,사회,서울광장 분향소 현판 '이태원 참사 희생자'로 문구 변경,https://v.daum.net/v/20221105180402954
1,사회,"국가애도기간 마지막 날, 추모객들 발길…분향소 현판 문구 변경",https://v.daum.net/v/20221105175101703
1,사회,서울광장 분향소 문구 변경… ‘사고 사망자→참사 희생자’,https://v.daum.net/v/20221105173308334
1,사회,"서울시, 이태원 '사고 사망자' 아닌 '참사 희생자'로 변경",https://v.daum.net/v/20221105172701240
1,사회,서울광장 분향소 ‘사고 사망자→참사 희생자’로 변경,https://v.daum.net/v/20221105171312982
1,사회,"[이태원 참사] 서울광장 분향소 현판 문구, ‘참사 희생자’로 변경",https://v.daum.net/v/20221105165910741
1,사회,서울광장 합동분향소 현판 문구 '사고 사망자'→'참사 희생자',https://v.daum.net/v/20221105165803719
1,사회,[이태원 참사] 서울광장 분향소 '사고 사망자→참사 희생자'로 문구 변경(종합),https://v.daum.net/v/20221105163833390
1,사회,'이태원 참사' 피해 신고 15일까지 연장…분향소도 당분간 지속,https://v.daum.net/v/20221105151718183
1,사회,녹사평역 광장 합동분향소 12일까지 1주 연장 운영,https://v.daum.net/v/20221105150318904
